sentence_id	speaker_id	path
148	60	wav_clips/common_voice_en_41290444.wav
149	60	wav_clips/common_voice_en_41290465.wav
150	60	wav_clips/common_voice_en_41290470.wav
154	60	wav_clips/common_voice_en_41291194.wav
159	60	wav_clips/common_voice_en_41350495.wav
161	60	wav_clips/common_voice_en_41351236.wav
165	60	wav_clips/common_voice_en_41368770.wav
167	60	wav_clips/common_voice_en_41369027.wav
169	60	wav_clips/common_voice_en_41376847.wav
170	60	wav_clips/common_voice_en_41441573.wav
172	61	wav_clips/common_voice_en_41605033.wav
177	61	wav_clips/common_voice_en_41633275.wav
182	61	wav_clips/common_voice_en_41640726.wav
183	61	wav_clips/common_voice_en_41640797.wav
185	61	wav_clips/common_voice_en_41640893.wav
186	61	wav_clips/common_voice_en_41640903.wav
188	61	wav_clips/common_voice_en_41646807.wav
189	61	wav_clips/common_voice_en_41646828.wav
190	61	wav_clips/common_voice_en_41646865.wav
193	61	wav_clips/common_voice_en_41650535.wav
195	61	wav_clips/common_voice_en_41653542.wav
196	61	wav_clips/common_voice_en_41653606.wav
197	61	wav_clips/common_voice_en_41653609.wav
198	61	wav_clips/common_voice_en_41653613.wav
199	61	wav_clips/common_voice_en_41653632.wav
201	61	wav_clips/common_voice_en_41653757.wav
202	61	wav_clips/common_voice_en_41653758.wav
203	61	wav_clips/common_voice_en_41653852.wav
204	61	wav_clips/common_voice_en_41653912.wav
205	61	wav_clips/common_voice_en_41653916.wav
206	61	wav_clips/common_voice_en_41653928.wav
207	61	wav_clips/common_voice_en_41653930.wav
209	61	wav_clips/common_voice_en_41654142.wav
210	61	wav_clips/common_voice_en_41654173.wav
211	61	wav_clips/common_voice_en_41664193.wav
213	61	wav_clips/common_voice_en_41664245.wav
214	61	wav_clips/common_voice_en_41678595.wav
215	61	wav_clips/common_voice_en_41678614.wav
216	61	wav_clips/common_voice_en_41678634.wav
217	61	wav_clips/common_voice_en_41678647.wav
218	61	wav_clips/common_voice_en_41678650.wav
219	61	wav_clips/common_voice_en_41682467.wav
220	61	wav_clips/common_voice_en_41682485.wav
222	61	wav_clips/common_voice_en_41686447.wav
223	61	wav_clips/common_voice_en_41686449.wav
225	61	wav_clips/common_voice_en_41686475.wav
227	61	wav_clips/common_voice_en_41686497.wav
228	61	wav_clips/common_voice_en_41691663.wav
229	61	wav_clips/common_voice_en_41691674.wav
230	61	wav_clips/common_voice_en_41691860.wav
231	61	wav_clips/common_voice_en_41692086.wav
232	61	wav_clips/common_voice_en_41692112.wav
235	61	wav_clips/common_voice_en_41692285.wav
236	61	wav_clips/common_voice_en_41692385.wav
238	61	wav_clips/common_voice_en_41692548.wav
242	61	wav_clips/common_voice_en_41704461.wav
243	61	wav_clips/common_voice_en_41704512.wav
244	61	wav_clips/common_voice_en_41704522.wav
245	61	wav_clips/common_voice_en_41704530.wav
246	61	wav_clips/common_voice_en_41764721.wav
248	61	wav_clips/common_voice_en_41764882.wav
249	61	wav_clips/common_voice_en_41765127.wav
250	61	wav_clips/common_voice_en_41765553.wav
